keyid	paymentType	payment	fee	extended_payment	info	TRANSACTIONID
	yearbook cred					
	CHECK	100.00		$100.00 	49377	10000-KNX
	CASH	20.00		$20.00 	CASH	10000-KNX
	CHECK	20.00		$20.00 	332	10001-KNX
	CHECK	100.00		$100.00 	987	10001-KNX
	CHECK	120.00		$120.00 	105	10002-KNX
	CHECK	200.00		$400.00 	132	10003-KNX
	CASH	300.00		$300.00 	CASH	10006-KNX
	CREDIT	20.00	0.60	$20.60 	7788	10006-KNX
	CHECK	120.00		$190.00 	139	10007-KNX
	CHECK	100.00		$100.00 	143	10008-KNX
	CREDIT	20.00	0.60	$20.60 	9993	10008-KNX
	CREDIT	100.00	3.00	$103.00 	7788	10008-KNX
	CHECK	120.00		$240.00 	155	10009-KNX
	CHECK	20.00		$20.00 	174	10010-KNX
	CASH	5.00		$5.00 	CASH	10010-KNX
	CREDIT	135.00	4.05	$139.05 	8844	10010-KNX
	CHECK	5.00		$5.00 	207	10013-KNX
	CREDIT	20.00	0.60	$20.60 	8844	10013-KNX
	CHECK	240.00		$410.00 	220	10015-KNX
	CHECK	20.00		$20.00 	318	10017-KNX
	CHECK	200.00		$200.00 	408	10019-KNX
	CREDIT	50.00	1.50	$51.50 	9993	10024-KNX
	CREDIT	20.00	0.60	$20.60 	7788	10024-KNX
	CHECK	300.00		$300.00 	472	10025-KNX
	CASH	5.00		$5.00 	CASH	10028-KNX
	CASH	20.00		$20.00 	CASH	10028-KNX
	CREDIT	200.00	6.00	$206.00 	7788	10028-KNX
	CHECK	155.00		$205.00 	617	10029-KNX
	CHECK	30.00		$30.00 	686	10031-KNX
	CASH	35.00		$35.00 	CASH	10031-KNX
	CASH	20.00		$20.00 	CASH	10031-KNX
	CREDIT	100.00	3.00	$103.00 	8844	10031-KNX
	CREDIT	5.00	0.15	$5.15 	7788	10031-KNX
	CHECK	20.00		$20.00 	702	10032-KNX
	CHECK	35.00		$35.00 	93939	10032-KNX
	CREDIT	5.00	0.15	$5.15 	9993	10032-KNX
	CREDIT	150.00	4.50	$154.50 	7788	10032-KNX
	CASH	100.00		$100.00 	CASH	10034-KNX
	CASH	5.00		$5.00 	CASH	10034-KNX
	CREDIT	20.00	0.60	$20.60 	8844	10034-KNX
	CREDIT	100.00	3.00	$103.00 	7788	10034-KNX
	CASH	100.00		$100.00 	CASH	10035-KNX
	CREDIT	20.00	0.60	$20.60 	8844	10035-KNX
	CREDIT	150.00	4.50	$154.50 	7788	10035-KNX
	CHECK	320.00		$320.00 	813	10039-KNX
	CHECK	5.00		$5.00 	842	10040-KNX
	CASH	50.00		$50.00 	CASH	10040-KNX
	CASH	20.00		$20.00 	CASH	10040-KNX
